user_id,hotel_name,rating,price,trip_type,companion,star,district,destination
,Oneday Hostel Sukhumvit 26,4.2,0.023756972,leisure,couple,3,Khlong Toei, Bangkok
,Oneday Hostel Sukhumvit 26,4.2,0.042980895,business,friend,3,Khlong Toei, Bangkok
,Oneday Hostel Sukhumvit 26,4.2,0.023756972,business,couple,3,Khlong Toei, Bangkok
,Oneday Hostel Sukhumvit 26,4.2,0.005601044,business,solo,3,Khlong Toei, Bangkok
,Oneday Hostel Sukhumvit 26,4.2,0.042980895,leisure,friend,3,Khlong Toei, Bangkok
,P-Park Residence - Charansanitwong-Rama7,2.6,0.038234247,business,family,2,Bangkok,0
,P.K. Garden Home,2.6,0.100415332,business,family,3,Bangkok,0
,P.K. Garden Home,2.6,0.100415332,leisure,friend,3,Bangkok,0
,P.K. Garden Home,2.6,0.048202207,business,solo,3,Bangkok,0
,P.K. Garden Home,2.6,0.100415332,business,friend,3,Bangkok,0
,P.T. Court,2.6,0.079055417,business,family,3,Pathumwan, Bangkok
,P.T. Court,2.6,0.079055417,leisure,family,3,Pathumwan, Bangkok
,P24 at Kaset,2.6,0.037759582,business,friend,No preference,Chatuchak, Bangkok
,P24 at Kaset,2.6,0.037759582,leisure,friend,No preference,Chatuchak, Bangkok
,PSB1 Apartment,2.6,0.055322179,leisure,solo,4,Bangkok,0
,PSB1 Apartment,2.6,0.055322179,business,couple,4,Bangkok,0
,PSB1 Apartment,2.6,0.055322179,business,solo,4,Bangkok,0
,PanPan Hostel,4.2,0.018535659,business,couple,2,Bang Rak, Bangkok
,Pantip Suites,2.6,0.140761837,leisure,family,4,Sathorn, Bangkok
,Parinda Hotel,4.2,0.096618014,business,family,4,Khlong Toei, Bangkok
,Parinda Hotel,4.2,0.096618014,business,friend,4,Khlong Toei, Bangkok
,Parinda Hotel,4.2,0.096618014,leisure,friend,4,Khlong Toei, Bangkok
,Park 19 Residence,3.4,0.038708912,business,couple,3,Wattana, Bangkok
,Park 19 Residence,3.4,0.088074048,business,family,3,Wattana, Bangkok
,Park 19 Residence,3.4,0.038708912,leisure,couple,3,Wattana, Bangkok
,Park 19 Residence,3.4,0.088074048,leisure,family,3,Wattana, Bangkok
,Park Plaza Bangkok Soi 18,4.2,0.124196037,business,friend,4,Khlong Toei, Bangkok
,Park Plaza Bangkok Soi 18,4.2,0.124196037,leisure,friend,4,Khlong Toei, Bangkok
,Park Plaza Bangkok Soi 18,4.2,0.06009256,business,couple,4,Khlong Toei, Bangkok
,Parvena Hotel,3.4,0.038708912,business,family,3,Sathorn, Bangkok
,Parvena Hotel,3.4,0.017348997,leisure,couple,3,Sathorn, Bangkok
,Parvena Hotel,3.4,0.017348997,business,couple,3,Sathorn, Bangkok
,Pathumwan Princess Hotel,4.2,0.201590127,business,friend,5,Bangkok,0
,Pathumwan Princess Hotel,4.2,0.201590127,leisure,family,5,Bangkok,0
,Petit Hostel,4.2,0.017348997,business,friend,No preference,Bangkok,0
,Phurahong Homestay,2.6,0.014738341,leisure,family,2,Bangkok,0
,PlayHaus Thonglor,3.4,0.033962264,business,couple,3,Wattana, Bangkok
,PlayHaus Thonglor,3.4,0.071935446,leisure,friend,3,Wattana, Bangkok
,PlayHaus Thonglor,3.4,0.033962264,leisure,couple,3,Wattana, Bangkok
,Polo Park Condominium,4.2,0.090922036,business,friend,No preference,Pathumwan, Bangkok
,Polo Park Condominium,4.2,0.090922036,leisure,friend,No preference,Pathumwan, Bangkok
,Praso@Ratchada12,2.6,0.081428741,leisure,friend,4,Huai Khwang, Bangkok
,Praso@Ratchada12,2.6,0.081428741,business,friend,4,Huai Khwang, Bangkok
,Praya Palazzo,2.6,0.195348285,business,friend,5,Bangkok,0
,Pula Residence,3.4,0.034199597,business,solo,3,Bang Rak, Bangkok
,Pula Residence,3.4,0.034199597,leisure,solo,3,Bang Rak, Bangkok
,Pula Residence,3.4,0.07241011,business,friend,3,Bang Rak, Bangkok
,Pula Residence,3.4,0.07241011,leisure,friend,3,Bang Rak, Bangkok
,Pullman Bangkok Grande Sukhumvit,4.2,0.208686365,business,friend,5,Wattana, Bangkok
,Pullman Bangkok Grande Sukhumvit,4.2,0.102337724,leisure,solo,5,Wattana, Bangkok
,Pullman Bangkok Grande Sukhumvit,4.2,0.127281358,business,family,5,Wattana, Bangkok
,Pullman Bangkok Grande Sukhumvit,4.2,0.102337724,business,couple,5,Wattana, Bangkok
,Pullman Bangkok Grande Sukhumvit,4.2,0.102337724,leisure,couple,5,Wattana, Bangkok
,Pullman Bangkok Grande Sukhumvit,4.2,0.208686365,leisure,friend,5,Wattana, Bangkok
,Pullman Bangkok Hotel G,3.4,0.172469443,business,family,5,Bang Rak, Bangkok
,Pullman Bangkok Hotel G,3.4,0.172469443,leisure,family,5,Bang Rak, Bangkok
,Pullman Bangkok Hotel G,3.4,0.084229263,leisure,couple,5,Bang Rak, Bangkok
,Pullman Bangkok Hotel G,3.4,0.084229263,business,couple,5,Bang Rak, Bangkok
,Pullman Bangkok King Power,4.2,0.089142043,leisure,couple,5,Pathumwan, Bangkok
,Pullman Bangkok King Power,4.2,0.089142043,business,couple,5,Pathumwan, Bangkok
,RD Hostel,1.8,0.042980895,leisure,family,2,Bangkok,0
,Rachanatda hostel,5,0.005245046,business,solo,No preference,Bangkok,0
,Radisson Blu Plaza Bangkok,4.2,0.223923104,leisure,friend,5,Wattana, Bangkok
,Radisson Blu Plaza Bangkok,4.2,0.223923104,business,friend,5,Wattana, Bangkok
,Ramada Plaza Bangkok Menam Riverside,2.6,0.076444761,business,couple,5,Bangkok,0
,Red Planet Asoke,2.6,0.073311973,leisure,family,3,Khlong Toei, Bangkok
,Red Planet Asoke,2.6,0.073311973,business,family,3,Khlong Toei, Bangkok
,Renaissance Bangkok Ratchaprasong Hotel,4.2,0.141236502,business,solo,5,Pathumwan, Bangkok
,Renaissance Bangkok Ratchaprasong Hotel,4.2,0.141236502,leisure,couple,5,Pathumwan, Bangkok
,Renaissance Bangkok Ratchaprasong Hotel,4.2,0.141236502,business,couple,5,Pathumwan, Bangkok
,Rest 3,4.2,0.01260235,business,couple,1,Bangkok,0
,Rest 3,4.2,0.01260235,leisure,couple,1,Bangkok,0
,Restiny Hostel,4.2,0.004295716,leisure,solo,2,Pathumwan, Bangkok
,Restiny Hostel,4.2,0.029215616,business,friend,2,Pathumwan, Bangkok
,Retro39,2.6,0.052426724,business,family,3,Wattana, Bangkok
,Retro39,2.6,0.052426724,leisure,family,3,Wattana, Bangkok
,Rezt Bangkok,4.2,0.004295716,leisure,solo,3,Khlong Toei, Bangkok
,Rezt Bangkok,4.2,0.025655631,business,couple,3,Khlong Toei, Bangkok
,Rezt Bangkok,4.2,0.025655631,leisure,couple,3,Khlong Toei, Bangkok
,Riva Arun Bangkok,4.2,0.172564376,leisure,friend,4,Bangkok,0
,Riva Surya Bangkok,4.2,0.100700131,business,solo,4,Bangkok,0
,Riva Surya Bangkok,4.2,0.100700131,leisure,solo,4,Bangkok,0
,Rongratana Executive Residence,2.6,0.114631541,leisure,couple,5,Pathumwan, Bangkok
,Rongratana Executive Residence,2.6,0.114631541,leisure,family,5,Pathumwan, Bangkok
,Rongratana Executive Residence,2.6,0.114631541,business,family,5,Pathumwan, Bangkok
,Room@Bangkok Boutique Guesthouse,2.6,0.061967485,leisure,friend,2,Khlong Toei, Bangkok
,Room@Bangkok Boutique Guesthouse,2.6,0.061967485,business,friend,2,Khlong Toei, Bangkok
,Royal Orchid Sheraton Hotel and Towers,4.2,0.100747597,leisure,couple,5,Bang Rak, Bangkok
,Royal Orchid Sheraton Hotel and Towers,4.2,0.100747597,business,couple,5,Bang Rak, Bangkok
,Royal Orchid Sheraton Hotel and Towers,4.2,0.205506111,leisure,family,5,Bang Rak, Bangkok
,Royal Princess Larn Luang,2.6,0.12414857,business,family,4,Bangkok,0
,Royal View Resort - Rang Nam,4.2,0.067188798,business,friend,3,Pathumwan, Bangkok
,Royal View Resort - Rang Nam,4.2,0.067188798,leisure,friend,3,Pathumwan, Bangkok
,S Box Sukhumvit Hotel,4.2,0.017467663,leisure,solo,3,Wattana, Bangkok
,S1hostel Bangkok,2.6,0.029215616,leisure,family,2,Sathorn, Bangkok
,S31 Sukhumvit Hotel,2.6,0.161409754,business,family,5,Wattana, Bangkok
,S31 Sukhumvit Hotel,2.6,0.161409754,leisure,family,5,Wattana, Bangkok
,S31 Sukhumvit Hotel,2.6,0.074664768,business,solo,5,Wattana, Bangkok
,S31 Sukhumvit Hotel,2.6,0.074664768,leisure,solo,5,Wattana, Bangkok
,SO Sofitel Bangkok,4.2,0.147953008,business,solo,5,Sathorn, Bangkok
,SO Sofitel Bangkok,4.2,0.147953008,business,couple,5,Sathorn, Bangkok
,SO Sofitel Bangkok,4.2,0.299916934,leisure,friend,5,Sathorn, Bangkok
,SO Sofitel Bangkok,4.2,0.299916934,business,friend,5,Sathorn, Bangkok
,SO Sofitel Bangkok,4.2,0.147953008,leisure,couple,5,Sathorn, Bangkok
,SO Sofitel Bangkok,4.2,0.147953008,leisure,solo,5,Sathorn, Bangkok
,SSIP Boutique Dhevej Bangkok,4.2,0.128895218,leisure,friend,4,Dusit, Bangkok
,SSIP Boutique Dhevej Bangkok,4.2,0.06244215,leisure,couple,4,Dusit, Bangkok
,SSIP Boutique Dhevej Bangkok,4.2,0.128895218,business,friend,4,Dusit, Bangkok
,SSIP Boutique Dhevej Bangkok,4.2,0.06244215,business,couple,4,Dusit, Bangkok
,Sabaidee Minitel,2.6,0.030402278,leisure,couple,No preference,Dusit, Bangkok
,Sabaidee Minitel,2.6,0.030402278,business,couple,No preference,Dusit, Bangkok
,Sacha's Hotel Uno,2.6,0.064103477,leisure,couple,3,Wattana, Bangkok
,Sacha's Hotel Uno,2.6,0.132217871,business,family,3,Wattana, Bangkok
,Sacha's Hotel Uno,2.6,0.064103477,business,couple,3,Wattana, Bangkok
,Sam Sen Sam Place,2.6,0.038708912,business,family,2,Bangkok,0
,Samsen 360 Hostel,4.2,0.007950635,leisure,couple,2,Bangkok,0
,Samsen 360 Hostel,4.2,0.001969859,leisure,solo,2,Bangkok,0
,Samsen 360 Hostel,4.2,0.007950635,business,couple,2,Bangkok,0
,Sandy Serviced Apartment,3.4,0.014975673,leisure,solo,2,Laksi, Bangkok
,Sandy Serviced Apartment,3.4,0.014975673,business,solo,2,Laksi, Bangkok
,"Sathorn Vista, Bangkok - Marriott Executive Apartments",4.2,0.213812745,business,friend,5,Sathorn, Bangkok
,"Sathorn Vista, Bangkok - Marriott Executive Apartments",4.2,0.104900914,leisure,solo,5,Sathorn, Bangkok
,"Sathorn Vista, Bangkok - Marriott Executive Apartments",4.2,0.213812745,leisure,friend,5,Sathorn, Bangkok
,"Sathorn Vista, Bangkok - Marriott Executive Apartments",4.2,0.104900914,business,solo,5,Sathorn, Bangkok
,"Sathorn Vista, Bangkok - Marriott Executive Apartments",4.2,0.104900914,leisure,couple,5,Sathorn, Bangkok
,"Sathorn Vista, Bangkok - Marriott Executive Apartments",4.2,0.104900914,business,couple,5,Sathorn, Bangkok
,Seek Sleep Hostel,4.2,0.004319449,business,solo,No preference,Wattana, Bangkok
,Shanghai Mansion Bangkok,4.2,0.056508841,business,couple,4,Bangkok,0
,Shanghai Mansion Bangkok,4.2,0.117004865,business,friend,4,Bangkok,0
,Shanghai Mansion Bangkok,4.2,0.056508841,business,solo,4,Bangkok,0
,Shanghai Mansion Bangkok,4.2,0.117004865,leisure,friend,4,Bangkok,0
,Shanghai Mansion Bangkok,4.2,0.056508841,leisure,solo,4,Bangkok,0
,Shangri-La Hotel Bangkok,4.2,0.17757209,business,solo,5,Bang Rak, Bangkok
,Shangri-La Hotel Bangkok,4.2,0.17757209,business,couple,5,Bang Rak, Bangkok
,Shangri-La Hotel Bangkok,4.2,0.359155097,leisure,friend,5,Bang Rak, Bangkok
,Shangri-La Hotel Bangkok,4.2,0.359155097,business,friend,5,Bang Rak, Bangkok
,Shangri-La Hotel Bangkok,4.2,0.17757209,leisure,solo,5,Bang Rak, Bangkok
,"Sheraton Grande Sukhumvit, A Luxury Collection Hotel",4.2,0.138103714,leisure,couple,5,Khlong Toei, Bangkok
,"Sheraton Grande Sukhumvit, A Luxury Collection Hotel",4.2,0.138103714,leisure,solo,5,Khlong Toei, Bangkok
,"Sheraton Grande Sukhumvit, A Luxury Collection Hotel",4.2,0.138103714,business,couple,5,Khlong Toei, Bangkok
,Siam Privi Residence,2.6,0.010727424,leisure,family,3,Huai Khwang, Bangkok
,Siam Privi Residence,2.6,0.010727424,business,family,3,Huai Khwang, Bangkok
,Siamaze Hostel,4.2,0.041082236,business,family,3,Din Daeng, Bangkok
,Siamaze Hostel,4.2,0.041082236,leisure,friend,3,Din Daeng, Bangkok
,Siamaze Hostel,4.2,0.002871722,business,solo,3,Din Daeng, Bangkok
,Siamaze Hostel,4.2,0.041082236,business,friend,3,Din Daeng, Bangkok
,Siamaze Hostel,4.2,0.002871722,leisure,solo,3,Din Daeng, Bangkok
,Siamese Nanglinchee,4.2,0.029500415,business,couple,No preference,Bangkok,0
,Siamese Nanglinchee,4.2,0.029500415,business,solo,No preference,Bangkok,0
,Siamese Nanglinchee,4.2,0.029500415,leisure,couple,No preference,Bangkok,0
,Siamese Nanglinchee,4.2,0.029500415,leisure,solo,No preference,Bangkok,0
,Siamhubbiz Hostel,2.6,0.061255488,business,friend,No preference,Phaya Thai, Bangkok
,Siamhubbiz Hostel,2.6,0.061255488,leisure,friend,No preference,Phaya Thai, Bangkok
,SilQ Bangkok Hotel,3.4,0.055322179,leisure,solo,4,Wattana, Bangkok
,SilQ Bangkok Hotel,3.4,0.055322179,leisure,family,4,Wattana, Bangkok
,SilQ Bangkok Hotel,3.4,0.055322179,business,family,4,Wattana, Bangkok
,SilQ Bangkok Hotel,3.4,0.055322179,leisure,couple,4,Wattana, Bangkok
,SilQ Bangkok Hotel,3.4,0.055322179,business,solo,4,Wattana, Bangkok
,Silom Bird House,4.2,0.026438828,leisure,family,2,Bang Rak, Bangkok
,Silom Bird House,4.2,0.005078913,business,solo,2,Bang Rak, Bangkok
,Silom City Hotel,2.6,0.028028955,business,family,3,Bang Rak, Bangkok
,Siri Poshtel Bangkok,4.2,0.033962264,leisure,couple,No preference,Bangkok,0
,Siri Sathorn Executive Serviced Residence,4.2,0.110857957,business,friend,5,Bang Rak, Bangkok
,Siri Sathorn Executive Serviced Residence,4.2,0.064791741,business,solo,5,Bang Rak, Bangkok
,Siri Sathorn Executive Serviced Residence,4.2,0.064791741,leisure,couple,5,Bang Rak, Bangkok
,Siri Sathorn Executive Serviced Residence,4.2,0.110857957,leisure,family,5,Bang Rak, Bangkok
,Siri Sathorn Executive Serviced Residence,4.2,0.064791741,business,couple,5,Bang Rak, Bangkok
,Siri Sathorn Executive Serviced Residence,4.2,0.064791741,leisure,solo,5,Bang Rak, Bangkok
,Siri Sathorn Executive Serviced Residence,4.2,0.110857957,leisure,friend,5,Bang Rak, Bangkok
,Sitara Place Serviced Apartments,4.2,0.021858313,business,solo,3,Din Daeng, Bangkok
,Sivatel Bangkok,4.2,0.106348641,leisure,solo,5,Pathumwan, Bangkok
,Sivatel Bangkok,4.2,0.106348641,business,couple,5,Pathumwan, Bangkok
,Sivatel Bangkok,4.2,0.106348641,leisure,couple,5,Pathumwan, Bangkok
,Sleeplab Hostel,4.2,0.045354219,leisure,friend,No preference,Pathumwan, Bangkok
,Sleeplab Hostel,4.2,0.011178355,business,solo,No preference,Pathumwan, Bangkok
,Sleeplab Hostel,4.2,0.020671651,business,couple,No preference,Pathumwan, Bangkok
,Sleeplab Hostel,4.2,0.020671651,leisure,couple,No preference,Pathumwan, Bangkok
,Sofitel Bangkok Sukhumvit,4.2,0.649649935,business,family,5,Wattana, Bangkok
,Sofitel Bangkok Sukhumvit,4.2,0,leisure,friend,5,Wattana, Bangkok
,Sofitel Bangkok Sukhumvit,4.2,0.1166726,business,couple,5,Wattana, Bangkok
,Sofitel Bangkok Sukhumvit,4.2,0.1166726,business,solo,5,Wattana, Bangkok
,Sofitel Bangkok Sukhumvit,4.2,0.1166726,leisure,couple,5,Wattana, Bangkok
,Sofitel Bangkok Sukhumvit,4.2,0,business,friend,5,Wattana, Bangkok
,Some Rest Hostel,4.2,0.00666904,leisure,solo,No preference,Bangkok,0
,Some Rest Hostel,4.2,0.00666904,business,solo,No preference,Bangkok,0
,Some Rest Hostel,4.2,0.038708912,business,friend,No preference,Bangkok,0
,Some Rest Hostel,4.2,0.038708912,leisure,friend,No preference,Bangkok,0
,Somerset Lake Point Bangkok,3.4,0.107891302,business,family,4,Khlong Toei, Bangkok
,Somerset Lake Point Bangkok,3.4,0.055227246,leisure,couple,4,Khlong Toei, Bangkok
,Somerset Lake Point Bangkok,3.4,0.107891302,business,friend,4,Khlong Toei, Bangkok
,Somerset Lake Point Bangkok,3.4,0.107891302,leisure,friend,4,Khlong Toei, Bangkok
,Somerset Park Suanplu,2.6,0.105684111,business,family,4,Sathorn, Bangkok
,Somerset Park Suanplu,2.6,0.057434437,leisure,solo,4,Sathorn, Bangkok
,Somerset Park Suanplu,2.6,0.057434437,business,couple,4,Sathorn, Bangkok
,Somerset Park Suanplu,2.6,0.057434437,leisure,couple,4,Sathorn, Bangkok
,Somerset Park Suanplu,2.6,0.057434437,business,solo,4,Sathorn, Bangkok
,Somerset Sukhumvit Thonglor,4.2,0.25928563,leisure,friend,4,Wattana, Bangkok
,Somerset Sukhumvit Thonglor,4.2,0.085938056,business,couple,4,Wattana, Bangkok
